"business_name","business_type","address","city","state","zip","phone","email","contact_name","website","square_url","keywords_found","confidence","search_term_used","date_found","notes"
"Coffee Off The Square","Coffee Shop","165 Hickory St","Athens","GA","30601","(229) 805-9171","","","https://www.baladi.coffee/","https://coffee-off-the-square.square.site/","*.square.site","confirmed","site:square.site coffee Athens GA","2026-03-13",""
"Gacoffee","Coffee Shop","237 Prince Ave","Athens","GA","30601","","","","http://www.hendershotsathens.com/","https://gacoffee.square.site/","*.square.site","confirmed","site:square.site coffee Athens GA","2026-03-13",""
"Harbor Coffee Atl","Coffee Shop","331 Elizabeth St NE suite c","Atlanta","GA","30307","(404) 678-1561","","","http://www.harborcoffeeatl.com/","https://harbor-coffee-atl.square.site/","*.square.site","confirmed","site:square.site coffee Athens GA","2026-03-13",""
"Urban Grind","Coffee Shop","962 Marietta St NW","Atlanta","GA","30318","","","","http://urbangrindatlanta.com/","https://urban-grind.square.site/","*.square.site","confirmed","site:square.site coffee Athens GA","2026-03-13",""
"Alma Coffee","Coffee Shop","3448 Holly Springs Pkwy","Canton","GA","30115","(404) 369-0850","","","https://myalmacoffee.com/","https://alma-coffee.square.site/","*.square.site","confirmed","site:square.site coffee Athens GA","2026-03-13",""
"Alcove Coffeehouse","Coffee Shop","4615 Stone Mountain Hwy Suite B","Lilburn","GA","30047","(770) 979-3030","","","http://alcovecoffeehouse.com/","https://alcove-coffeehouse.square.site/","*.square.site","confirmed","site:square.site coffee Athens GA","2026-03-13",""
"Crowandclovercafe","Breakfast Restaurant","2343 W Broad St","Athens","GA","30606","(706) 850-0297","","","http://caferacer78.com/","https://crowandclovercafe.square.site/","*.square.site","confirmed","site:square.site coffee shop Athens GA","2026-03-13",""
"Ordercoffeeclub","Coffee Shop","237 Prince Ave","Athens","GA","30601","","","","http://www.hendershotsathens.com/","https://ordercoffeeclub.square.site/","*.square.site","confirmed","site:square.site coffee shop Athens GA","2026-03-13",""
"Citysipscoffeeco","Coffee Shop","1390 Prince Ave","Athens","GA","30606","(706) 363-7211","","","https://sipsespressocafe.com/","https://citysipscoffeeco.square.site/","*.square.site","confirmed","site:square.site coffee shop Athens GA","2026-03-13",""
"Atriumcafe Atl","Restaurant","675 Ponce De Leon Ave NE #158","Atlanta","GA","30308","(404) 600-3939","","","https://www.atriumatl.com/","https://atriumcafe-atl.square.site/","*.square.site","confirmed","site:square.site cafe Athens GA","2026-03-13",""
"Athensbrewingco","Brewery","108 Park Ave","Athens","GA","30601","(706) 206-2074","","","http://athenticbrewing.com/","https://athensbrewingco.square.site/","*.square.site","confirmed","site:square.site cafe Athens GA","2026-03-13",""
"Athens Greek","Greek Restaurant","10753 Alpharetta Hwy","Roswell","GA","30076","(770) 552-8599","","","http://www.athensgreekrestaurant.com/","https://athens-greek.square.site/","*.square.site","confirmed","site:square.site cafe Athens GA","2026-03-13",""
"Geegcafe","Cafe","393 N Finley St Studio C","Athens","GA","30601","(706) 353-0029","","","http://www.bigcitybreadcafe.com/","https://geegcafe.square.site/","*.square.site","confirmed","site:square.site cafe Athens GA","2026-03-13",""
