"business_name","business_type","address","city","state","zip","phone","email","contact_name","website","square_url","keywords_found","confidence","search_term_used","date_found","notes"
"Blackcoffeeatl","Coffee Shop","1246 Allene Ave SW","Atlanta","GA","30310","(404) 343-1565","","","http://www.blackcoffeeatl.com/","https://blackcoffeeatl.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"Harbor Coffee Atl","Coffee Shop","331 Elizabeth St NE suite c","Atlanta","GA","30307","(404) 678-1561","","","http://www.harborcoffeeatl.com/","https://harbor-coffee-atl.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"Prevailpickupatl","Coffee Shop","1050 Howell Mill Rd NW","Atlanta","GA","30318","(678) 837-5440","","","http://www.prevailcoffee.com/","https://prevailpickupatl.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"Urban Grind","Coffee Shop","962 Marietta St NW","Atlanta","GA","30318","","","","http://urbangrindatlanta.com/","https://urban-grind.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"Bloom Coffee Company","Coffee Shop","2025 Peachtree Rd NW","Atlanta","GA","30309","(404) 343-6631","","","http://bloomcoffeecoatl.com/","https://bloom-coffee-company.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"The Daily Cafe","Cafe","763 Trabert Ave NW Suite C","Atlanta","GA","30318","(404) 500-0763","","","https://www.shopthedaily.com/atlanta","https://the-daily-cafe.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"Woodstone","Bakery","305 Trilith Pkwy ste 385","Fayetteville","GA","30214","(770) 756-9684","","","http://www.woodstonebakerycafe.com/","https://woodstone.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"Artis Coffee Llc","Coffee Shop","11500 Webb Bridge Way suit A1B","Alpharetta","GA","30005","(256) 763-4916","","","https://www.artarocafe.com/","https://artis-coffee-llc.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"Coffee Off The Square","Coffee Shop","740 W Peachtree St NW","Atlanta","GA","30308","","","","http://apotheosroastery.com/","https://coffee-off-the-square.square.site/","*.square.site","confirmed","site:square.site coffee Atlanta","2026-03-09",""
"Chrome Yellow","Coffee Shop","501 Edgewood Ave SE","Atlanta","GA","30312","(470) 355-1340","","","https://chrome-yellow.com/","https://chrome-yellow.square.site/","*.square.site","confirmed","site:square.site coffee shop Atlanta","2026-03-09",""
"Gathering Grounds Coffee Shop","Coffee Shop","1297 McDonough Blvd SE","Atlanta","GA","30315","(404) 586-0692","","","http://communitygrounds.com/","https://gathering-grounds-coffee-shop.square.site/","*.square.site","confirmed","site:square.site coffee shop Atlanta","2026-03-09",""
"Statestreetcoffeeco","Coffee Shop","2025 Peachtree Rd NW","Atlanta","GA","30309","(404) 343-6631","","","http://bloomcoffeecoatl.com/","https://statestreetcoffeeco.square.site/","*.square.site","confirmed","site:square.site coffee shop Atlanta","2026-03-09",""
"Crowandclovercafe","Breakfast Restaurant","3070 Piedmont Rd NE","Atlanta","GA","30305","(404) 240-1978","","","https://cornercafeatlanta.com/","https://crowandclovercafe.square.site/","*.square.site","confirmed","site:square.site coffee shop Atlanta","2026-03-09",""
"Cafeinthesquarealyth","Cafe","935 Marietta St NW","Atlanta","GA","30318","","","","","https://cafeinthesquarealyth.square.site/","*.square.site","confirmed","site:square.site coffee shop Atlanta","2026-03-09",""
"Paperstcoffeeco","Coffee Shop","1192 N Highland Ave NE","Atlanta","GA","30306","(404) 876-8816","","","https://www.sanfranciscocoffeeroastingco.com/","https://paperstcoffeeco.square.site/","*.square.site","confirmed","site:square.site coffee shop Atlanta","2026-03-09",""
"Govindascafe","Vegan Restaurant","1148 Euclid Ave NE","Atlanta","GA","30307","","","","","https://govindascafe.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Brickstone Cafe","Pizza Restaurant","66 Broad St NW","Atlanta","GA","30303","(678) 467-0224","","","http://brickstonecafe.com/","https://brickstone-cafe.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Golden Vibes Cafe","Restaurant","4641 Greenbriar Trail SW","Atlanta","GA","30331","(470) 290-4174","","","","https://golden-vibes-cafe.square.site/home","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Dulce Vegan Bakery Cafe","Bakery","1994 Hosea L Williams Dr NE","Atlanta","GA","30317","(404) 624-7417","","","http://www.dulcevegan.com/","https://dulce-vegan-bakery-cafe.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Rbr Cafe","Brunch Restaurant","421 Memorial Dr SE","Atlanta","GA","30312","(404) 521-3737","","","http://www.riasbluebird.com/","https://rbr-cafe.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Coffeedelightcafe","Coffee Shop","811 Peachtree St NE Unit 5","Atlanta","GA","30308","(678) 358-4320","","","https://www.foxtailcoffee.com/locations/foxtail-coffee-society-atlanta,-ga","https://coffeedelightcafe.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Roybal Cafe","Restaurant","3145 Briarcliff Rd NE Ste G","Atlanta","GA","30329","(404) 748-1587","","","https://www.cafebombaytogo.com/","https://roybal-cafe.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Atriumcafe Atl","Restaurant","675 Ponce De Leon Ave NE #158","Atlanta","GA","30308","(404) 600-3939","","","https://www.atriumatl.com/","https://atriumcafe-atl.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Cafeatsouthpoint","Cafe","935 Marietta St NW","Atlanta","GA","30318","","","","","https://cafeatsouthpoint.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Cafe On 1St","Coffee Shop","1140 Spring St NW suite 140","Atlanta","GA","30309","","","","https://landofathousandhills.com/pages/location-spring-street","https://cafe-on-1st.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Alattecafeonmain","Coffee Shop","650 North Avenue NE","Atlanta","GA","30308","(404) 874-0370","","","http://www.dancinggoats.com/","https://alattecafeonmain.square.site/","*.square.site","confirmed","site:square.site cafe Atlanta","2026-03-09",""
"Fellinis Pizza Inc","Pizza Restaurant","909 Ponce De Leon Ave NE","Atlanta","GA","30306","(404) 873-3088","","","http://www.fellinisatlanta.com/","https://fellinis-pizza-inc.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Dolos Pizza Co","Pizza Restaurant","50 Lower Alabama Street","Atlanta","GA","30303","(404) 713-8323","","","http://dolospizza.co/","https://dolos-pizza-co.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Atlantapizzatruck","Catering Service","2000 Cheshire Bridge Rd NE Suite J","Atlanta","GA","30324","(470) 317-4992","","","https://www.theatlantapizzatruck.com/home","https://atlantapizzatruck.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Anticopizza","Pizza Restaurant","1093 Hemphill Ave NW","Atlanta","GA","30318","(404) 724-2333","","","https://littleitalia.com/","https://anticopizza.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Side Pie","Coffee Shop","1105 Woodstock Rd Suite 140","Roswell","GA","30075","(678) 373-1758","","","https://doodlepies.net/","https://side-pie.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Alsrestaurant","Steak House","30 Old Ivy Rd NE","Atlanta","GA","30342","(404) 261-0025","","","http://hals.net/","https://alsrestaurant.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
"Local Pizza","Pizza Restaurant","1093 Hemphill Ave NW","Atlanta","GA","30318","(404) 724-2333","","","https://littleitalia.com/","https://local-pizza.square.site/","*.square.site","confirmed","site:square.site pizza Atlanta","2026-03-09",""
